 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1,561612.000,499296.000,523813.000,610188.000,551357.000,523448.000,663208.000,619949.000,626211.000,543351.000,681224.000,560558.000,534075.000,548338.000,562495.000,447582.000,534859.000,497265.000,598366.000,511046.000,542265.000,570976.000,533689.000,571298.000,536038.000,530408.000,511119.000,501360.000,541498.000,537675.000,512420.000,546264.000,547481.000,576831.000,506032.000,606876.000,704863.000,574197.000,456921.000,512066.000,492142.000,511599.000,522918.000,466125.000,470620.000,608231.000,593971.000,561313.000,499393.000,504276.000,681735.000,557435.000,624081.000,532618.000,503004.000,553498.000,540682.000,519986.000,504598.000,578692.000,461864.000,546493.000,539064.000,597834.000,481497.000
2,554029.000,500638.000,520757.000,602651.000,548317.000,517434.000,655353.000,605113.000,617122.000,541990.000,670022.000,554221.000,527289.000,541262.000,559840.000,444463.000,528440.000,496018.000,591452.000,507747.000,537142.000,559066.000,525304.000,565553.000,525093.000,526246.000,505663.000,495170.000,532249.000,530552.000,504754.000,538600.000,545497.000,575585.000,502878.000,603785.000,689416.000,569249.000,457480.000,502834.000,484489.000,511759.000,518288.000,463867.000,461241.000,599847.000,585473.000,556766.000,491810.000,498099.000,676102.000,550632.000,621026.000,528968.000,501245.000,548667.000,534998.000,516481.000,497506.000,564432.000,461608.000,542134.000,530086.000,592536.000,479193.000
3,549002.000,493967.000,513093.000,593114.000,540811.000,513351.000,650614.000,594217.000,605662.000,531782.000,663189.000,552093.000,521050.000,534316.000,555502.000,444669.000,523897.000,490524.000,586699.000,502914.000,532743.000,553419.000,518442.000,554592.000,523637.000,517749.000,499099.000,498371.000,531062.000,527128.000,500466.000,536229.000,540328.000,567692.000,500798.000,596309.000,677446.000,564273.000,453016.000,496495.000,479081.000,501051.000,516620.000,456619.000,456104.000,592902.000,579666.000,550361.000,483616.000,495490.000,662904.000,549112.000,613150.000,519029.000,498395.000,541338.000,529618.000,509503.000,491137.000,555342.000,453976.000,530498.000,526018.000,584455.000,472520.000
4,542056.000,492127.000,511445.000,586488.000,531802.000,504517.000,638557.000,590034.000,596364.000,530835.000,653571.000,542972.000,512713.000,529512.000,547582.000,436844.000,516120.000,487915.000,578312.000,497795.000,528087.000,544888.000,512724.000,547503.000,517426.000,509075.000,494809.000,487105.000,523526.000,522902.000,493360.000,530454.000,533605.000,565083.000,495484.000,590229.000,666181.000,558559.000,448984.000,493918.000,473048.000,498494.000,508028.000,451992.000,458363.000,578325.000,576880.000,541978.000,476399.000,493154.000,643380.000,541506.000,601754.000,517540.000,486762.000,540233.000,527876.000,505983.000,482945.000,549455.000,451368.000,526866.000,519970.000,578678.000,467560.000
5,539111.000,482971.000,505396.000,580424.000,525097.000,498070.000,620183.000,583043.000,592919.000,526691.000,641025.000,540026.000,509400.000,523831.000,543741.000,432957.000,509028.000,481274.000,573637.000,493536.000,520387.000,542615.000,510468.000,543244.000,513809.000,505746.000,493400.000,484815.000,520246.000,520649.000,491840.000,525702.000,530420.000,557321.000,491420.000,585409.000,651696.000,552814.000,446504.000,491085.000,471976.000,496907.000,501818.000,450377.000,451672.000,580468.000,574095.000,539722.000,472092.000,488353.000,633557.000,535955.000,599339.000,513861.000,488232.000,536136.000,522051.000,505694.000,475008.000,540013.000,447960.000,519617.000,514609.000,569540.000,465256.000
6,517395.000,472616.000,473982.000,536013.000,502240.000,478266.000,612696.000,543772.000,570641.000,513070.000,621821.000,518925.000,492465.000,508254.000,518759.000,427576.000,496032.000,473464.000,528656.000,468906.000,513874.000,522835.000,489082.000,514611.000,484584.000,488223.000,472856.000,472266.000,508371.000,508721.000,477340.000,506367.000,514382.000,542388.000,480488.000,555466.000,632957.000,512288.000,445032.000,476698.000,459240.000,489449.000,486328.000,440280.000,444696.000,539998.000,541805.000,518690.000,447800.000,478031.000,622403.000,517310.000,583716.000,493086.000,478984.000,520454.000,511920.000,484312.000,469532.000,533546.000,438056.000,478152.000,502896.000,560096.000,460024.000
7,506048.000,465448.000,464043.000,523123.000,494094.000,477916.000,609620.000,532074.000,564191.000,511068.000,608011.000,509432.000,490753.000,493640.000,506431.000,417320.000,486973.000,463288.000,516297.000,461561.000,509905.000,513538.000,480954.000,505474.000,480520.000,475167.000,462696.000,461032.000,498433.000,501168.000,471866.000,497614.000,505535.000,534530.000,473752.000,546457.000,617642.000,503117.000,436488.000,470457.000,457480.000,481641.000,479784.000,438696.000,437096.000,534233.000,530233.000,506394.000,438632.000,470609.000,616819.000,505384.000,576308.000,484554.000,482520.000,513717.000,505374.000,478536.000,465405.000,522247.000,439896.000,465224.000,494462.000,554891.000,450408.000
8,498512.000,456216.000,458746.000,515229.000,488060.000,472332.000,584959.000,521945.000,556045.000,503018.000,596825.000,497928.000,480240.000,486344.000,503090.000,415000.000,480714.000,455928.000,503368.000,453993.000,499009.000,505663.000,476985.000,496704.000,474328.000,467676.000,455608.000,453128.000,493744.000,494974.000,465785.000,485707.000,503259.000,525999.000,465224.000,541078.000,608839.000,496909.000,433656.000,465625.000,453784.000,478536.000,471112.000,436344.000,432488.000,525190.000,522505.000,502172.000,435928.000,464878.000,590367.000,497304.000,567217.000,478441.000,469528.000,510450.000,497228.000,472440.000,457436.000,513428.000,433128.000,460232.000,485006.000,544842.000,447144.000
9,496126.000,451272.000,455739.000,510508.000,486395.000,466813.000,572509.000,515783.000,550762.000,499786.000,586437.000,493544.000,476384.000,481400.000,498736.000,409288.000,473626.000,451320.000,505080.000,453193.000,490945.000,497630.000,466921.000,492957.000,468408.000,463228.000,452216.000,448216.000,485807.000,489022.000,467978.000,483519.000,494557.000,524623.000,460680.000,532579.000,595767.000,487931.000,425416.000,463257.000,451336.000,474984.000,465992.000,428200.000,426680.000,517170.000,520407.000,498443.000,428680.000,460284.000,573063.000,494312.000,562494.000,473945.000,464168.000,504691.000,489531.000,471304.000,454154.000,513797.000,428136.000,454744.000,479516.000,538313.000,440744.000
10,498017.000,454504.000,460715.000,513856.000,492828.000,472381.000,578157.000,517352.000,551934.000,500124.000,595913.000,496568.000,477039.000,487560.000,505684.000,412984.000,478845.000,455944.000,508184.000,458298.000,489903.000,498158.000,470712.000,497920.000,472664.000,472093.000,455112.000,450200.000,495073.000,497264.000,468314.000,486252.000,494604.000,526288.000,465064.000,534900.000,593893.000,494222.000,431208.000,468986.000,454472.000,480184.000,469080.000,431640.000,430280.000,527302.000,528586.000,502074.000,432920.000,459228.000,575146.000,491736.000,563645.000,479850.000,466088.000,506947.000,496555.000,473336.000,450361.000,514839.000,436104.000,459784.000,482238.000,537478.000,444632.000
11,493485.000,455416.000,450186.000,505807.000,484415.000,458859.000,574652.000,513607.000,545511.000,500364.000,592791.000,497498.000,479872.000,485240.000,505042.000,410664.000,471451.000,454584.000,502952.000,458649.000,503154.000,501856.000,467672.000,493487.000,471976.000,457706.000,455496.000,449785.000,484159.000,487980.000,457033.000,484381.000,492428.000,521663.000,465992.000,534580.000,591109.000,491691.000,430040.000,467592.000,449992.000,476840.000,472664.000,428648.000,427560.000,529481.000,525402.000,495580.000,433704.000,457995.000,596030.000,501224.000,566477.000,474585.000,463464.000,504209.000,490188.000,465608.000,439832.000,502404.000,432376.000,455368.000,484077.000,537546.000,441800.000
